Country,CountryCode,Row,Column
Iceland,ISL,0,0
Norway,NOR,1,3
Finland,FIN,1,4
Estonia,EST,1,5
Ireland,IRL,2,0
UK,GBR,2,1
Denmark,DNK,2,3
Sweden,SWE,2,4
Latvia,LVA,2,5
Russia,RUS,2,6
Netherlands,NLD,3,2
Germany,DEU,3,3
Poland,POL,3,4
Lithuania,LTU,3,5
Belarus,BLR,3,6
Belgium,BEL,4,2
Czech,CZE,4,3
Slovak,SVK,4,4
Ukraine,UKR,4,5
Moldova,MDA,4,6
Luxembourg,LUX,5,2
Austria,AUT,5,3
Hungary,HUN,5,4
Romania,ROU,5,5
Bulgaria,BGR,5,6
France,FRA,6,1
Switzerland,CHE,6,2
Slovenia,SVN,6,3
Croatia,HRV,6,4
Serbia,SRB,6,5
Kosovo,XKX,6,6
Portugal,PRT,7,0
Spain,ESP,7,1
Italy,ITA,7,3
Bosnia,BIH,7,4
Montenegro,MNE,7,5
Macedonia,MKD,7,6
Albania,ALB,8,5
Greece,GRC,8,6
TÃ¼rkiye,TUR,8,7
Malta,MLT,10,3